goos: darwin
goarch: arm64
pkg: github.com/thebeginner86/hippocampus/handlers
BenchmarkHandlers-8   	   12219	     92750 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12883	     93626 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12774	     93132 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12922	     94183 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   10504	     95976 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12546	     96230 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   10015	    165074 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	    7998	    145274 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11244	     98634 ns/op	  158457 B/op	      21 allocs/op
BenchmarkHandlers-8   	   10908	    124273 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11427	    106506 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11794	    101515 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12718	     97509 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12687	     95963 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12777	     93913 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12964	     94340 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12982	     95738 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12686	     97647 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12747	     96254 ns/op	  158458 B/op	      21 allocs/op
BenchmarkHandlers-8   	   10430	     98274 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   13011	     94491 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12571	    100600 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12771	     97265 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12866	     95780 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12718	     97879 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12837	     95085 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12820	     95092 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12793	     95070 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12002	     95782 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12553	     95917 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12495	     98838 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12558	     96550 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12600	     97437 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12468	     97094 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11361	    100390 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12234	    113107 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11442	    108998 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12030	    105065 ns/op	  158459 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12325	     99377 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12398	     99310 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   10826	    109739 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12253	     99017 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12156	     97923 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11835	    101981 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12128	     98420 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	    9700	    104702 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12244	    102354 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12184	     97504 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12328	     98630 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12213	     98191 ns/op	  158460 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12162	     99644 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12243	    100036 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11983	    100010 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12081	     99762 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11931	     99897 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12114	    100242 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12066	    100628 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12069	    100453 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12010	    100216 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11992	    100581 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11989	    100787 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11976	    101506 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   12042	    101378 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11946	    102260 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11898	    102156 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11764	    102911 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11809	    101354 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11779	    101211 ns/op	  158461 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11769	    102474 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11670	    101851 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11760	    102132 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11772	    102712 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11622	    103241 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11602	    103106 ns/op	  158462 B/op	      21 allocs/op
BenchmarkHandlers-8   	   11558	    102285 ns/op	  158462 B/op	      21 allocs/op
